index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
8009,2500135,0.745098,12777,19260,32037,33167
8010,2500134,0.745098,12759,19222,31981,33092
8011,2500128,0.745096,12778,19222,32000,33130
8012,2500134,0.745098,12796,19222,32018,33148
8013,2500134,0.745098,12796,19222,32018,33148
8014,2500135,0.745098,12815,19185,32000,33111
8015,2500134,0.745098,12852,19185,32037,33167
8016,2500128,0.745096,12797,19240,32037,33148
8017,2500128,0.745096,12815,19241,32056,33186
8018,2500134,0.745098,12870,19241,32111,33222
8019,2500134,0.745098,12796,19204,32000,33167
8020,2500128,0.745096,12833,19148,31981,33092
8021,2500134,0.745098,12833,19278,32111,33241
8022,2500134,0.745098,12796,19167,31963,33074
8023,2500128,0.745096,12870,19222,32092,33222
8024,2500135,0.745098,12834,19185,32019,33130
8025,2500134,0.745098,12796,19259,32055,33185
8026,2500128,0.745096,12852,19167,32019,33130
8027,2500134,0.745098,12870,19278,32148,33278
8028,2500134,0.745098,12815,19240,32055,33166
8029,2500159,0.745106,12796,19204,32000,33130
8030,2500128,0.745096,12796,19185,31981,33111
8031,2500134,0.745098,12741,19167,31908,33056
8032,2500135,0.745098,12796,19259,32055,33185
8033,2500134,0.745098,12796,19241,32037,33167
8034,2500134,0.745098,12778,19204,31982,33111
8035,2500135,0.745098,12777,19223,32000,33130
8036,2500134,0.745098,12815,19204,32019,33148
8037,2500128,0.745096,12778,19260,32038,33167
8038,2500135,0.745098,12814,19204,32018,33129
8039,2500134,0.745098,12815,19259,32074,33204
8040,2500134,0.745098,12833,19204,32037,33148
8041,2500135,0.745098,12796,19185,31981,33111
8042,2500134,0.745098,12852,19204,32056,33167
8043,2500128,0.745096,12796,19278,32074,33204
8044,2500135,0.745098,12796,19204,32000,33111
8045,2500134,0.745098,12851,19241,32092,33222
8046,2500128,0.745096,12778,19185,31963,33074
8047,2500135,0.745098,12833,19185,32018,33148
8048,2500134,0.745098,12833,19259,32092,33204
8049,2500128,0.745096,12796,19315,32111,33241
8050,2500128,0.745096,12815,19148,31963,33074
8051,2500134,0.745098,12871,19240,32111,33259
8052,2500134,0.745098,12796,19222,32018,33130
8053,2500128,0.745096,12778,19185,31963,33111
8054,2500134,0.745098,12797,19166,31963,33074
8055,2500128,0.745096,12778,19241,32019,33149
8056,2500135,0.745098,12815,19129,31944,33055
8057,2500159,0.745106,12778,19222,32000,33130
8058,2500135,0.745098,12796,19241,32037,33148
8059,2500134,0.745098,12759,19352,32111,34222
8060,2500128,0.745096,12815,19241,32056,33167
8061,2500135,0.745098,12796,19222,32018,33148
8062,2500134,0.745098,12852,19204,32056,33167
8063,2500134,0.745098,12815,19222,32037,33185
8064,2500135,0.745098,12797,19240,32037,33148
8065,2500134,0.745098,12778,19278,32056,34167
8066,2500128,0.745096,12834,19166,32000,33111
8067,2500135,0.745098,12760,19185,31945,33093
8068,2500134,0.745098,12815,19166,31981,33092
8069,2500135,0.745098,12796,19204,32000,34112
8070,2500134,0.745098,12797,19222,32019,33148
8071,2500128,0.745096,12797,19222,32019,33148
8072,2500134,0.745098,12833,19223,32056,33167
8073,2500134,0.745098,12778,19166,31944,33092
8074,2500135,0.745098,12852,19186,32038,33149
8075,2500134,0.745098,12833,19223,32056,34148
8076,2500128,0.745096,12796,19185,31981,33092
