index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
137,2514742,0.749452,16370,3481,19851,66703
138,2514639,0.749421,16352,3463,19815,66686
139,2514674,0.749431,16352,3463,19815,66703
140,2514678,0.749433,16351,3463,19814,66685
141,2514773,0.749461,16315,3463,19778,66686
142,2513858,0.749188,16334,3463,19797,66685
143,2513260,0.749010,16315,3444,19759,66629
144,2513328,0.749030,16352,3463,19815,66704
145,2513313,0.749026,16352,3463,19815,66667
146,2513304,0.749023,16352,3500,19852,66740
147,2513204,0.748993,16370,3463,19833,66704
148,2513214,0.748996,16389,3463,19852,66685
149,2513207,0.748994,16371,3444,19815,66722
150,2513215,0.748997,16370,3445,19815,66630
151,2513220,0.748998,16333,3463,19796,66722
152,2513223,0.748999,16371,3444,19815,66648
153,2513173,0.748984,16351,3463,19814,66722
154,2513182,0.748987,16370,3463,19833,66667
155,2513249,0.749007,16352,3481,19833,66759
156,2513235,0.749002,16333,3463,19796,66722
157,2513201,0.748992,16370,3482,19852,66723
158,2513190,0.748989,16370,3463,19833,66740
159,2513195,0.748991,16333,3463,19796,66685
160,2513260,0.749010,16315,3463,19778,65723
161,2513152,0.748978,16371,3463,19834,66722
162,2513157,0.748979,16407,3482,19889,66759
163,2513161,0.748980,16370,3445,19815,66704
164,2513178,0.748985,16334,3463,19797,66685
165,2513139,0.748974,16314,3482,19796,66685
166,2513187,0.748988,16371,3463,19834,66704
167,2513160,0.748980,16370,3445,19815,66685
168,2513235,0.749002,16371,3444,19815,66666
169,2513243,0.749005,16334,3444,19778,66741
170,2513219,0.748998,16370,3445,19815,66704
171,2513181,0.748986,16389,3444,19833,66740
172,2513186,0.748988,16352,3463,19815,66667
173,2513196,0.748991,16333,3482,19815,66704
174,2513187,0.748988,16352,3463,19815,66759
175,2513222,0.748999,16389,3463,19852,66685
176,2513149,0.748977,16352,3463,19815,66685
177,2513173,0.748984,16371,3463,19834,66704
178,2513188,0.748988,16351,3463,19814,66703
179,2513172,0.748984,16371,3463,19834,66760
180,2513233,0.749002,16370,3463,19833,66666
181,2513244,0.749005,16352,3463,19815,65741
182,2513198,0.748991,16333,3482,19815,66778
183,2513185,0.748988,16333,3463,19796,66740
184,2513246,0.749006,16371,3444,19815,66704
185,2513178,0.748985,16371,3463,19834,66704
186,2513196,0.748991,16370,3463,19833,66722
187,2513249,0.749007,16352,3482,19834,66778
188,2513211,0.748995,16370,3463,19833,66703
189,2513221,0.748998,16389,3444,19833,66778
190,2513195,0.748991,16371,3463,19834,66741
191,2513209,0.748995,16352,3444,19796,66666
192,2513238,0.749003,16389,3444,19833,66704
193,2513262,0.749011,16352,3445,19797,66704
194,2513278,0.749015,16370,3463,19833,66666
195,2513278,0.749015,16370,3463,19833,65889
196,2513237,0.749003,16371,3481,19852,66685
197,2513212,0.748996,16352,3463,19815,66760
198,2513190,0.748989,16352,3463,19815,66740
199,2513236,0.749003,16370,3463,19833,66722
200,2513231,0.749001,16352,3463,19815,66723
201,2513199,0.748992,16333,3445,19778,66685
202,2513205,0.748994,16351,3463,19814,66703
203,2513215,0.748997,16371,3463,19834,66797
204,2513191,0.748989,16333,3463,19796,66629
205,2513196,0.748991,16351,3463,19814,66759
206,2513246,0.749006,16334,3481,19815,66704
207,2513261,0.749010,16333,3463,19796,66648
208,2513188,0.748988,16351,3463,19814,66685
209,2513209,0.748995,16334,3463,19797,66723
210,2513191,0.748989,16389,3463,19852,66759
211,2513208,0.748994,16407,3444,19851,66740
212,2513186,0.748988,16389,3444,19833,66704
213,2513203,0.748993,16408,3444,19852,65759
214,2513146,0.748976,16371,3463,19834,66760
215,2513184,0.748987,16371,3463,19834,66722
216,2513212,0.748996,16370,3463,19833,66666
217,2513196,0.748991,16389,3463,19852,66741
218,2513212,0.748996,16370,3482,19852,66778
219,2513224,0.748999,16333,3482,19815,66722
220,2513265,0.749011,16352,3463,19815,66704
221,2513187,0.748988,16389,3463,19852,66759
222,2513229,0.749001,16333,3463,19796,66685
223,2513202,0.748993,16333,3445,19778,66630
224,2513235,0.749002,16333,3463,19796,66740
225,2513257,0.749009,16351,3463,19814,66685
226,2513173,0.748984,16352,3463,19815,66723
227,2513221,0.748998,16315,3482,19797,66685
228,2513270,0.749013,16352,3481,19833,66740
229,2513197,0.748991,16389,3445,19834,65723
230,2513130,0.748971,16352,3445,19797,66685
231,2513210,0.748995,16352,3463,19815,66648
232,2513242,0.749005,16334,3463,19797,66704
233,2513604,0.749112,16352,3463,19815,66703
234,2513325,0.749029,16388,3463,19851,66796
235,2513151,0.748977,16370,3445,19815,66686
236,2513245,0.749005,16333,3463,19796,66703
237,2513195,0.748991,16370,3481,19851,66722
238,2513182,0.748987,16352,3463,19815,66741
239,2513169,0.748983,16388,3463,19851,66759
240,2513221,0.748998,16426,3463,19889,66778
241,2513176,0.748985,16333,3463,19796,66648
242,2513225,0.749000,16351,3463,19814,66722
243,2513183,0.748987,16370,3463,19833,66704
244,2513132,0.748972,16334,3463,19797,66704
245,2513130,0.748971,16333,3463,19796,66685
246,2513131,0.748971,16333,3463,19796,66722
247,2513227,0.749000,16370,3463,19833,66685
248,2513228,0.749000,16371,3463,19834,66704
249,2513228,0.749000,16389,3463,19852,65759
250,2513154,0.748978,16352,3463,19815,66759
251,2513225,0.749000,16389,3444,19833,66722
252,2513190,0.748989,16389,3445,19834,66760
253,2513162,0.748981,16389,3445,19834,66685
254,2513180,0.748986,16333,3445,19778,66685
255,2513070,0.748953,16352,3463,19815,66500
256,2513167,0.748982,16389,3445,19834,66704
257,2513156,0.748979,16370,3463,19833,66740
258,2513241,0.749004,16351,3463,19814,66759
259,2513129,0.748971,16352,3463,19815,66649
260,2513175,0.748985,16352,3463,19815,66759
261,2513221,0.748998,16389,3463,19852,66759
262,2513207,0.748994,16371,3463,19834,66741
263,2513187,0.748988,16333,3482,19815,66722
264,2513185,0.748988,16334,3481,19815,66722
265,2513098,0.748962,16352,3463,19815,66667
266,2513105,0.748964,16351,3463,19814,66703
267,2513107,0.748964,16333,3463,19796,66704
268,2513062,0.748951,16333,3482,19815,65741
269,2513153,0.748978,16371,3463,19834,66648
270,2513145,0.748976,16370,3444,19814,66703
271,2513161,0.748980,16352,3445,19797,66649
272,2513132,0.748972,16352,3463,19815,66703
273,2513088,0.748959,16370,3445,19815,66667
274,2513064,0.748952,16389,3444,19833,66759
275,2513103,0.748963,16352,3444,19796,66685
276,2513132,0.748972,16352,3463,19815,66741
277,2513151,0.748977,16315,3463,19778,66685
278,2513161,0.748980,16352,3463,19815,66722
279,2513222,0.748999,16352,3463,19815,66667
280,2513205,0.748994,16371,3463,19834,66704
281,2513147,0.748976,16352,3445,19797,66722
282,2513202,0.748993,16370,3463,19833,66759
283,2513079,0.748956,16352,3463,19815,66722
284,2513079,0.748956,16370,3463,19833,66759
285,2513144,0.748975,16333,3482,19815,66704
286,2513139,0.748974,16315,3481,19796,66685
287,2513143,0.748975,16334,3463,19797,66667
288,2513161,0.748980,16315,3444,19759,66703
289,2513098,0.748962,16352,3463,19815,65760
290,2513127,0.748970,16352,3481,19833,66666
291,2513126,0.748970,16352,3463,19815,66741
292,2513145,0.748976,16408,3444,19852,66722
293,2513129,0.748971,16371,3444,19815,66685
294,2513098,0.748962,16370,3444,19814,66722
295,2513137,0.748973,16352,3445,19797,66723
296,2513198,0.748991,16370,3445,19815,66648
297,2513156,0.748979,16370,3463,19833,66703
298,2513085,0.748958,16371,3444,19815,66741
299,2513087,0.748958,16352,3482,19834,66778
300,2513115,0.748967,16408,3463,19871,66741
301,2513191,0.748989,16370,3463,19833,66703
302,2513209,0.748995,16407,3463,19870,66741
303,2513222,0.748999,16371,3481,19852,66759
304,2513193,0.748990,16334,3481,19815,66722
305,2513136,0.748973,16333,3463,19796,66704
306,2513214,0.748996,16370,3463,19833,66685
307,2513112,0.748966,16333,3463,19796,65685
308,2513170,0.748983,16333,3463,19796,66685
309,2513156,0.748979,16352,3500,19852,66741
310,2513120,0.748968,16408,3463,19871,66704
311,2513125,0.748970,16333,3463,19796,66703
312,2513175,0.748985,16352,3444,19796,66667
313,2513141,0.748974,16333,3463,19796,66722
314,2513151,0.748977,16370,3445,19815,66741
315,2513171,0.748983,16370,3463,19833,66592
316,2513156,0.748979,16370,3445,19815,66649
317,2513142,0.748975,16334,3463,19797,66722
318,2513040,0.748944,16370,3463,19833,66703
319,2513115,0.748967,16352,3444,19796,66741
320,2513100,0.748962,16389,3463,19852,66685
321,2513166,0.748982,16407,3463,19870,66759
322,2513226,0.749000,16389,3482,19871,66797
323,2513183,0.748987,16389,3463,19852,66759
324,2513157,0.748979,16352,3463,19815,66667
325,2513116,0.748967,16352,3481,19833,66740
326,2513092,0.748960,16333,3463,19796,66722
327,2513156,0.748979,16333,3482,19815,65723
328,2513158,0.748980,16352,3463,19815,66703
329,2513160,0.748980,16333,3481,19814,66685
330,2513139,0.748974,16352,3463,19815,66704
331,2513179,0.748986,16333,3500,19833,66722
332,2513115,0.748967,16389,3444,19833,66685
333,2513161,0.748980,16371,3444,19815,66704
334,2513155,0.748979,16389,3445,19834,66704
335,2513123,0.748969,16333,3444,19777,66777
336,2513189,0.748989,16352,3444,19796,66667
337,2513163,0.748981,16371,3463,19834,66741
338,2513150,0.748977,16389,3444,19833,66740
339,2513190,0.748989,16352,3463,19815,66778
340,2513155,0.748979,16333,3463,19796,66685
341,2513184,0.748987,16352,3462,19814,66685
342,2513097,0.748961,16352,3463,19815,66649
343,2513234,0.749002,16371,3463,19834,66685
344,2513227,0.749000,16333,3463,19796,66722
345,2513212,0.748996,16333,3463,19796,66685
346,2513191,0.748989,16352,3463,19815,66685
347,2513257,0.749009,16352,3463,19815,66704
348,2513243,0.749005,16315,3462,19777,65666
349,2513362,0.749040,16334,3463,19797,66723
350,2513244,0.749005,16351,3463,19814,66703
351,2513225,0.749000,16334,3462,19796,66722
352,2513301,0.749022,16352,3463,19815,66704
353,2513251,0.749007,16315,3481,19796,66722
354,2513191,0.748989,16370,3463,19833,66667
355,2513244,0.749005,16370,3445,19815,66741
356,2513224,0.748999,16389,3444,19833,66703
357,2513240,0.749004,16352,3463,19815,66760
358,2513253,0.749008,16352,3463,19815,66759
359,2513247,0.749006,16370,3463,19833,66703
360,2513189,0.748989,16352,3463,19815,66649
361,2513239,0.749004,16389,3463,19852,66759
362,2513237,0.749003,16370,3482,19852,66685
363,2513197,0.748991,16352,3463,19815,66704
364,2513250,0.749007,16370,3463,19833,66703
365,2513191,0.748989,16408,3462,19870,66833
366,2513237,0.749003,16334,3444,19778,65667
367,2513136,0.748973,16315,3482,19797,66667
368,2513150,0.748977,16314,3463,19777,66703
369,2513273,0.749014,16352,3463,19815,66723
370,2513253,0.749008,16334,3463,19797,66685
371,2513221,0.748998,16314,3482,19796,66685
372,2513209,0.748995,16333,3463,19796,66629
373,2513215,0.748997,16371,3463,19834,66760
374,2513189,0.748989,16333,3463,19796,66722
375,2513241,0.749004,16296,3445,19741,99389
376,2513217,0.748997,16315,3462,19777,33814
377,2513133,0.748972,16296,3444,19740,66426
378,2513106,0.748964,16315,3426,19741,67389
379,2513158,0.748980,16278,3445,19723,66408
380,2513204,0.748993,16297,3500,19797,66500
381,2513180,0.748986,16296,3445,19741,66444
382,2513159,0.748980,16314,3445,19759,67426
383,2513170,0.748983,16259,3445,19704,66426
384,2513189,0.748989,16260,3463,19723,66389
385,2513241,0.749004,16277,3482,19759,66444
386,2513180,0.748986,16296,3463,19759,67426
387,2513223,0.748999,16278,3463,19741,66426
388,2513236,0.749003,16278,3445,19723,66389
389,2513210,0.748995,16259,3463,19722,66407
390,2513235,0.749002,16259,3445,19704,66463
