index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
138,669132,0.199417,29314,22445,51759,67445
139,843296,0.251322,29278,22518,51796,66074
140,1074120,0.320113,29389,22444,51833,67537
141,1351807,0.402870,29315,22500,51815,66148
142,1664279,0.495994,33518,28426,61944,76241
143,1997219,0.595218,30186,23296,53482,59352
144,2336429,0.696310,30018,23241,53259,66185
145,2666882,0.794793,29981,23204,53185,66056
146,2974014,0.886325,30018,23204,53222,67537
147,3245061,0.967104,30018,23204,53222,66111
148,3468027,1.033553,30018,23204,53222,66111
149,3633077,1.082741,30019,23185,53204,67500
150,3732682,1.112426,30019,23333,53352,66278
151,3762892,1.121429,30000,23222,53222,66148
152,3721652,1.109139,30037,23315,53352,67667
153,3611565,1.076330,30037,23241,53278,66148
154,3437365,1.024415,29963,23167,53130,66037
155,3206406,0.955584,30019,23204,53223,67519
156,2929162,0.872958,30055,23223,53278,66148
157,2617497,0.780075,30018,23278,53296,67648
158,2284612,0.680868,30000,23185,53185,66055
159,1945244,0.579728,30019,23222,53241,66167
160,1614433,0.481139,29981,23278,53259,67537
161,1306583,0.389392,30019,23166,53185,66074
162,1035252,0.308529,30019,23222,53241,66130
163,812391,0.242111,30000,23222,53222,67500
164,647430,0.192949,30000,23204,53204,66093
165,547592,0.163195,30000,23297,53297,67574
166,517407,0.154199,30000,23203,53203,66092
167,558429,0.166425,29982,23222,53204,66130
168,668724,0.199295,29982,23166,53148,67444
169,842855,0.251190,29981,23223,53204,66075
170,1073617,0.319963,30019,23185,53204,67481
171,1351138,0.402671,30038,23351,53389,66259
172,1663523,0.495769,30000,23315,53315,66186
173,1996489,0.595000,30056,23222,53278,67629
174,2335732,0.696102,30018,23315,53333,66204
175,2666219,0.794595,29981,23278,53259,66185
176,2973469,0.886163,30019,23296,53315,67611
177,3244557,0.966953,30000,23148,53148,66056
178,3467740,1.033467,30000,23222,53222,66111
179,3632988,1.082715,30000,23204,53204,67482
180,3732898,1.112490,30018,23297,53315,66185
181,3763254,1.121537,29982,23203,53185,67481
182,3722371,1.109353,30018,23148,53166,66037
183,3612362,1.076568,30018,23223,53241,66186
184,3438300,1.024693,29963,23185,53148,67444
185,3207475,0.955902,30019,23185,53204,66074
186,2930304,0.873299,30000,23241,53241,67537
187,2618683,0.780428,30093,23240,53333,66185
188,2285718,0.681197,30037,23278,53315,66204
189,1946275,0.580035,30037,23204,53241,67519
190,1615381,0.481421,30000,23259,53259,66129
191,1307427,0.389644,30019,23203,53222,66148
192,1035883,0.308717,30000,23185,53185,67482
193,812826,0.242241,29963,23260,53223,66093
194,647564,0.192989,30018,23204,53222,67518
195,547372,0.163130,30037,23222,53259,66148
196,516738,0.154000,30000,23278,53278,66149
197,557421,0.166124,30055,23186,53241,67537
198,667483,0.198925,30018,23204,53222,66092
199,841387,0.250753,30019,23240,53259,66259
200,1071995,0.319479,30055,23223,53278,67575
201,1349500,0.402182,30018,23334,53352,66222
202,1661749,0.495240,31000,23518,54518,67407
203,1994702,0.594468,30074,23129,53203,66111
204,2334035,0.695597,29982,23241,53223,66112
205,2664629,0.794121,29871,23148,53019,67333
206,2971984,0.885720,29926,23185,53111,66000
207,3243320,0.966585,29963,23240,53203,67555
208,3466759,1.033175,29907,23167,53074,65945
209,3632145,1.082464,29963,23129,53092,67407
210,3732196,1.112281,29944,23241,53185,66056
211,3762901,1.121432,29926,23241,53167,66037
212,3722325,1.109339,29926,23241,53167,67463
213,3612398,1.076579,29963,23167,53130,65982
214,3438538,1.024764,29926,23222,53148,67444
215,3207875,0.956021,29963,23075,53038,65982
216,2930771,0.873438,29963,23185,53148,67425
217,2619078,0.780546,29945,23166,53111,66000
218,2286372,0.681392,30000,23241,53241,67501
219,1947266,0.580331,29981,23167,53148,66018
220,1616398,0.481724,29982,23222,53204,66074
221,1308358,0.389921,29963,23112,53075,67371
222,1036921,0.309027,29945,23130,53075,65926
223,813743,0.242514,29926,23241,53167,67629
224,648055,0.193135,29944,23130,53074,65945
225,547598,0.163197,29926,23167,53093,67370
226,516825,0.154026,29944,23130,53074,65963
227,557327,0.166096,29907,23130,53037,67315
228,667143,0.198824,29945,23185,53130,66000
229,840878,0.250601,29907,23241,53148,67463
230,1071183,0.319237,29926,23166,53092,65981
231,1348447,0.401869,29945,23203,53148,67500
232,1660613,0.494901,29926,23167,53093,65945
233,1993588,0.594136,29944,23148,53092,67407
234,2332982,0.695283,29944,23185,53129,66037
235,2663609,0.793817,29982,23148,53130,66019
236,2971197,0.885486,29944,23204,53148,67426
237,3242817,0.966435,30000,23148,53148,66037
238,3466364,1.033057,29926,23185,53111,67389
239,3632010,1.082423,29963,23204,53167,66648
240,3732278,1.112306,29963,23130,53093,65982
241,3763249,1.121536,29963,23148,53111,67388
242,3722799,1.109481,29945,23111,53056,65945
243,3613190,1.076815,29963,23129,53092,67370
244,3439579,1.025075,29926,23130,53056,65908
245,3209138,0.956398,29963,23092,53055,67333
246,2932281,0.873888,29926,23204,53130,66019
247,2620852,0.781075,29944,23204,53148,67518
248,2288150,0.681922,29944,23111,53055,65926
249,1948938,0.580829,29945,23130,53075,67371
250,1618014,0.482206,30000,23148,53148,66018
251,1309897,0.390380,29944,23130,53074,67389
252,1038216,0.309413,29945,23129,53074,65944
253,814876,0.242852,29926,23185,53111,67426
254,649201,0.193477,29944,23130,53074,65945
255,548537,0.163477,29926,23240,53166,67518
256,517472,0.154219,29944,23148,53092,65963
257,557853,0.166253,29981,23130,53111,65982
258,667436,0.198911,29982,23185,53167,67426
259,840807,0.250580,29926,23167,53093,66000
260,1070938,0.319164,30000,23204,53204,67463
261,1348131,0.401774,29926,23167,53093,65963
262,1660176,0.494771,30666,25260,55926,70204
263,1992987,0.593956,29907,23185,53092,63203
264,2332295,0.695078,29963,23111,53074,67334
265,2662910,0.793609,29889,23148,53037,65926
266,2970462,0.885267,29944,23204,53148,67444
267,3242025,0.966199,29907,23204,53111,66000
268,3465706,1.032861,29889,23130,53019,67315
269,3631636,1.082312,29926,23148,53074,65963
270,3732193,1.112280,29907,23130,53037,67315
271,3763216,1.121526,29852,23167,53019,65963
272,3722856,1.109498,29982,23055,53037,67333
273,3613414,1.076881,29945,23148,53093,65982
274,3439702,1.025111,29926,23222,53148,67444
275,3209344,0.956459,29925,23204,53129,66000
276,2932579,0.873977,29926,23185,53111,67389
277,2621193,0.781176,29944,23204,53148,66000
278,2288521,0.682032,29926,23204,53130,67426
279,1949210,0.580910,29944,23204,53148,66093
280,1618110,0.482234,29926,23204,53130,66000
281,1309842,0.390363,29944,23204,53148,67463
282,1038044,0.309361,29945,23222,53167,66037
283,814599,0.242769,29888,23186,53074,67352
284,648921,0.193394,29926,23111,53037,65926
285,548289,0.163403,29926,23186,53112,67463
286,517163,0.154127,29907,23186,53093,65963
287,557270,0.166079,29945,23185,53130,67481
288,666739,0.198704,29944,23130,53074,65926
289,840016,0.250344,29907,23167,53074,67389
290,1069960,0.318873,29926,23148,53074,65944
291,1346934,0.401418,29963,23166,53129,67463
292,1658883,0.494386,29889,23222,53111,65982
293,1991582,0.593538,29944,23130,53074,67352
294,2330851,0.694648,29963,23148,53111,65963
295,2661641,0.793231,29945,23148,53093,67426
296,2969237,0.884902,29944,23148,53092,65981
297,3241061,0.965912,30055,23130,53185,67482
298,3464909,1.032623,29907,23204,53111,66000
299,3630883,1.082088,29963,23111,53074,65963
300,3731667,1.112124,29944,23222,53166,67444
301,3763120,1.121497,29926,23222,53148,66074
302,3723225,1.109608,29963,23111,53074,67389
303,3614153,1.077102,29945,23129,53074,66037
304,3440852,1.025454,29908,23129,53037,67315
305,3210667,0.956853,29888,23112,53000,65908
306,2934070,0.874421,29926,23222,53148,67444
307,2622637,0.781607,29871,23148,53019,65889
308,2290092,0.682501,29945,23203,53148,67444
309,1950860,0.581402,29944,23130,53074,65982
310,1619852,0.482754,29944,23148,53092,67370
311,1311466,0.390847,29908,23129,53037,66000
312,1039476,0.309788,29963,23148,53111,67389
313,815754,0.243114,30000,23185,53185,66056
314,649656,0.193613,29963,23148,53111,67426
315,548677,0.163519,29944,23167,53111,66000
316,517172,0.154129,29926,23111,53037,65889
317,556969,0.165990,29944,23186,53130,67704
318,666072,0.198505,29926,23185,53111,65981
319,839077,0.250064,29907,23260,53167,67519
320,1068966,0.318577,29963,23130,53093,65963
321,1345999,0.401139,29963,23186,53149,67426
322,1657952,0.494108,30704,23222,53926,66814
323,1990781,0.593299,29963,23185,53148,66019
324,2330220,0.694460,29908,23185,53093,65963
325,2661068,0.793060,29889,23185,53074,67389
326,2968800,0.884771,29889,23074,52963,65870
327,3240750,0.965819,29926,23148,53074,67445
328,3464843,1.032604,29870,23148,53018,65907
329,3631149,1.082167,29981,23093,53074,67352
330,3731991,1.112220,29908,23129,53037,65944
331,3763518,1.121616,29926,23148,53074,67371
332,3723745,1.109763,29945,23092,53037,65907
333,3614993,1.077352,29963,23148,53111,67463
334,3442008,1.025798,29907,23148,53055,65926
335,3211982,0.957245,29963,23185,53148,67500
336,2935595,0.874876,29963,23222,53185,66074
337,2624514,0.782166,29944,23259,53203,67500
338,2292007,0.683071,29945,23222,53167,66019
339,1952595,0.581919,29981,23167,53148,67426
340,1621504,0.483246,29908,23148,53056,65926
341,1313087,0.391330,29963,23204,53167,67463
342,1040900,0.310212,29944,23167,53111,66000
343,816956,0.243472,29944,23130,53074,66000
344,650618,0.193899,29944,23204,53148,67426
345,549328,0.163713,29945,23222,53167,66037
346,517554,0.154243,29926,23222,53148,67426
347,557009,0.166002,29963,23111,53074,65963
348,665886,0.198450,29945,23111,53056,67315
349,838783,0.249977,29889,23148,53037,65907
350,1068493,0.318436,29963,23186,53149,67408
351,1345085,0.400867,29944,23130,53074,66018
352,1656765,0.493755,29926,23185,53111,67389
353,1989583,0.592942,29926,23092,53018,65944
354,2328848,0.694051,29926,23167,53093,67371
355,2659793,0.792680,29926,23185,53111,65981
356,2967610,0.884417,29982,23074,53056,67334
357,3239625,0.965484,29981,23241,53222,66111
358,3463832,1.032303,29945,23240,53185,67481
359,3630305,1.081915,29944,23148,53092,66037
360,3731476,1.112067,30037,23260,53297,67575
361,3763391,1.121578,29944,23186,53130,66000
362,3723887,1.109805,29944,23130,53074,65944
363,3615218,1.077419,29945,23111,53056,67352
364,3442492,1.025943,29907,23130,53037,65889
365,3212603,0.957430,29907,23093,53000,67352
366,2936087,0.875022,29944,23185,53129,66018
367,2624948,0.782296,29908,23240,53148,67500
368,2292425,0.683196,29963,23111,53074,65963
369,1953170,0.582090,29944,23204,53148,67426
370,1622000,0.483394,29888,23223,53111,65982
371,1313512,0.391457,29926,23074,53000,67296
372,1041247,0.310316,29926,23149,53075,65945
373,817150,0.243530,29908,23148,53056,67333
374,650559,0.193882,29945,23092,53037,65907
375,548908,0.163587,29944,23148,53092,67426
376,516855,0.154035,30018,23167,53185,66056
377,556284,0.165786,30000,23111,53111,67389
378,665048,0.198200,29926,23259,53185,66092
379,837730,0.249663,29889,23222,53111,67408
380,1067425,0.318117,29963,23185,53148,66018
381,1344282,0.400627,29963,23093,53056,67408
382,1656031,0.493536,30704,23259,53963,66833
383,1988750,0.592694,29981,23111,53092,66037
384,2328100,0.693828,29945,23129,53074,65926
385,2659058,0.792461,29889,23222,53111,67426
386,2967066,0.884255,29981,23167,53148,66056
387,3239193,0.965355,29944,23074,53018,67333
388,3463580,1.032227,29926,23186,53112,65982
389,3630210,1.081887,29945,23037,52982,67259
390,3731655,1.112120,29963,23130,53093,65963
391,3763657,1.121657,29908,23259,53167,67537
392,3724269,1.109919,29945,23074,53019,65889
393,3615942,1.077635,29926,23130,53056,67352
394,3443268,1.026174,29889,23148,53037,65944
395,3213633,0.957737,29963,23093,53056,67334
396,2937415,0.875418,29963,23092,53055,65925
397,2626496,0.782757,29907,23074,52981,67389
398,2294063,0.683684,29944,23185,53129,66000
399,1954700,0.582546,29908,23203,53111,67463
400,1623502,0.483841,29944,23148,53092,65963
401,1314783,0.391836,29963,23130,53093,67408
402,1042358,0.310647,29963,23222,53185,66092
403,818047,0.243797,29945,23240,53185,67463
404,651205,0.194074,29963,23129,53092,65963
405,549367,0.163724,29944,23204,53148,66019
406,517167,0.154128,29908,23277,53185,67481
407,556240,0.165772,30037,23260,53297,66223
408,664839,0.198137,30000,23241,53241,67537
409,837402,0.249565,29981,23111,53092,66018
410,1066794,0.317929,29982,23092,53074,65963
411,1343191,0.400302,29945,23185,53130,67408
412,1654750,0.493154,29944,23185,53129,66018
413,1987350,0.592277,29981,23148,53129,67500
414,2326688,0.693407,29981,23130,53111,65982
415,2657679,0.792050,29926,23204,53130,67500
416,2965773,0.883869,30000,23148,53148,66018
417,3238204,0.965060,29963,23129,53092,67389
418,3462851,1.032010,29926,23241,53167,66056
419,3629657,1.081722,29963,23130,53093,67389
420,3731389,1.112041,29944,23222,53166,66055
421,3763682,1.121665,33074,23055,56129,69000
422,3724772,1.110069,29963,23296,53259,64741
423,3616619,1.077837,30092,23241,53333,66315
424,3444147,1.026436,29963,23167,53130,66000
425,3214611,0.958029,29963,23167,53130,67426
426,2938457,0.875729,29944,23093,53037,65926
427,2627499,0.783056,29889,23185,53074,67389
428,2294919,0.683939,29926,23148,53074,65944
429,1955465,0.582774,29945,23185,53130,67519
430,1624033,0.484000,29926,23204,53130,66000
431,1315209,0.391963,29889,23019,52908,67278
432,1042586,0.310715,29945,23185,53130,66000
433,818057,0.243800,29907,23130,53037,67315
434,651077,0.194036,29963,23204,53167,66055
435,548982,0.163609,29963,23037,53000,67278
436,516548,0.153943,29871,23185,53056,65963
437,555451,0.165537,29926,23092,53018,67333
438,663814,0.197832,29926,23130,53056,65945
439,836091,0.249175,29908,23074,52982,67389
440,1065428,0.317522,29963,23185,53148,66037
441,1342030,0.399956,29963,23148,53111,67426
442,1653743,0.492854,35630,23666,59296,72166
443,1986433,0.592003,29963,23259,53222,60482
444,2325774,0.693135,29963,23240,53203,67518
445,2656680,0.791752,29926,23149,53075,66038
446,2964907,0.883611,29982,23222,53204,66055
447,3237472,0.964842,29963,23241,53204,67556
448,3462134,1.031796,29963,23241,53204,66074
449,3629151,1.081571,29945,23185,53130,67426
450,3731133,1.111964,29945,23240,53185,66092
451,3763580,1.121634,29926,23222,53148,67426
452,3724674,1.110039,29963,23185,53148,66019
453,3616669,1.077851,29963,23203,53166,66055
454,3444320,1.026487,29907,23352,53259,67556
455,3215074,0.958167,29945,23222,53167,66111
456,2939055,0.875907,29982,23222,53204,67500
457,2628278,0.783288,29944,23222,53166,66037
458,2295894,0.684230,29963,23148,53111,66037
459,1956505,0.583084,29981,23222,53203,67500
460,1625193,0.484345,29926,23241,53167,66056
461,1316262,0.392277,29926,23240,53166,67518
462,1043525,0.310995,29963,23241,53204,66112
463,818871,0.244043,29907,23296,53203,66166
464,651569,0.194183,29945,23166,53111,67426
465,549166,0.163664,29945,23222,53167,66056
466,516457,0.153916,29908,23277,53185,67481
467,555126,0.165440,29944,23389,53333,66204
468,663147,0.197633,30185,23056,53241,66167
469,835263,0.248928,30055,23241,53296,67574
470,1064204,0.317158,29944,23130,53074,66000
471,1340489,0.399497,29907,23204,53111,67463
472,1652227,0.492402,29852,23204,53056,65926
473,1984887,0.591542,29926,23111,53037,67333
474,2324190,0.692663,29926,23166,53092,65963
475,2655182,0.791306,29908,23148,53056,67352
476,2963532,0.883201,29889,23111,53000,65870
477,3236242,0.964475,29889,23092,52981,67315
478,3461153,1.031504,29852,23203,53055,65926
479,3628497,1.081377,29889,23111,53000,67371
480,3730682,1.111830,29907,23222,53129,66018
481,3763384,1.121576,29870,23167,53037,67352
482,3724864,1.110096,29926,23074,53000,65889
483,3617164,1.077999,29945,23185,53130,67426
484,3445109,1.026723,29889,23204,53093,65963
485,3216004,0.958444,29907,23167,53074,67389
486,2940131,0.876227,30055,23130,53185,66074
487,2629357,0.783610,29908,23148,53056,67426
488,2297064,0.684579,29945,23129,53074,65944
489,1957845,0.583483,29926,23167,53093,67408
490,1626477,0.484728,29926,23093,53019,65889
491,1317547,0.392660,29926,23148,53074,67370
492,1044717,0.311350,29926,23111,53037,65926
493,819944,0.244362,29852,23129,52981,67333
494,652682,0.194514,29907,23074,52981,65889
495,550387,0.164028,29944,23148,53092,67463
496,517624,0.154264,29926,23129,53055,65926
497,556025,0.165708,29889,23148,53037,67315
498,663866,0.197848,29926,23093,53019,65908
499,835702,0.249059,29852,23111,52963,67277
500,1064291,0.317183,29926,23111,53037,65945
501,1340149,0.399396,29908,23129,53037,67333
502,1651390,0.492153,34500,23759,58259,71167
503,1983874,0.591241,29963,23222,53185,61907
504,2323293,0.692395,29981,23204,53185,66056
505,2654347,0.791057,29963,23204,53167,67463
506,2962705,0.882955,30000,23222,53222,66111
507,3235418,0.964230,29981,23223,53204,67519
508,3460449,1.031294,29945,23204,53149,66037
509,3627925,1.081206,29963,23186,53149,67500
510,3730281,1.111711,29963,23166,53129,66018
511,3763259,1.121539,29944,23204,53148,66093
512,3724900,1.110107,29944,23167,53111,67389
513,3617224,1.078017,29963,23185,53148,66037
514,3445403,1.026810,29907,23185,53092,67407
515,3216425,0.958569,29945,23148,53093,66019
516,2940709,0.876400,29981,23167,53148,67426
517,2630135,0.783841,29926,23278,53204,66074
518,2297921,0.684834,29963,23167,53130,67426
519,1958547,0.583693,30019,23185,53204,66148
520,1627013,0.484888,29926,23222,53148,66037
521,1318021,0.392801,29963,23185,53148,67444
522,1045036,0.311445,29982,23204,53186,66075
523,820035,0.244390,29963,23241,53204,67500
524,652591,0.194487,30000,23148,53148,66018
525,550149,0.163957,29982,23222,53204,66130
526,517196,0.154136,29944,23222,53166,67444
527,555447,0.165536,29944,23185,53129,66111
528,663023,0.197596,30000,23241,53241,67519
529,834746,0.248774,29945,23204,53149,66019
530,1063448,0.316932,30000,23167,53167,67444
531,1339548,0.399216,29982,23185,53167,66037
532,1650880,0.492001,29926,23186,53112,65982
533,1983307,0.591072,30055,23149,53204,67500
534,2322597,0.692188,29963,23204,53167,66074
535,2653780,0.790888,29926,23222,53148,67518
536,2962095,0.882773,29982,23166,53148,66037
537,3234884,0.964071,29963,23240,53203,67500
538,3460010,1.031163,29981,23167,53148,66019
539,3627529,1.081088,29945,23203,53148,66018
540,3729982,1.111621,29981,23204,53185,67482
541,3763167,1.121511,29926,23204,53130,66074
542,3724996,1.110135,29945,23241,53186,67482
543,3617630,1.078138,29963,23204,53167,66092
544,3445944,1.026971,29926,23167,53093,67426
545,3217092,0.958768,29945,23204,53149,66056
546,2941511,0.876639,30000,23222,53222,66092
547,2631020,0.784105,29926,23241,53167,67482
548,2298789,0.685093,29981,23185,53166,66055
549,1959382,0.583941,30111,23260,53371,67649
550,1627857,0.485139,29963,23185,53148,66018
551,1318753,0.393019,30000,23185,53185,66148
552,1045548,0.311598,29963,23204,53167,67445
553,820372,0.244490,29926,23185,53111,65981
554,652645,0.194503,29944,23204,53148,67426
555,549701,0.163824,29981,23204,53185,66056
556,516311,0.153873,29944,23130,53074,67352
557,554390,0.165221,29963,23148,53111,66018
558,661850,0.197247,29962,23186,53148,67445
559,833420,0.248379,29945,23203,53148,66092
560,1061939,0.316483,29945,23185,53130,66019
561,1337816,0.398700,30000,23204,53204,67500
562,1649015,0.491445,34426,23685,58111,71018
563,1981419,0.590509,30278,23444,53722,62389
564,2320810,0.691655,30241,23500,53741,66593
565,2652038,0.790369,30204,23500,53704,66593
566,2960535,0.882308,30260,23463,53723,66611
567,3233560,0.963676,30240,23500,53740,66666
568,3459078,1.030886,30222,23482,53704,66556
569,3627009,1.080933,30222,23463,53685,66574
570,3729836,1.111578,30241,23407,53648,66537
571,3763172,1.121513,30185,23519,53704,67982
572,3725218,1.110202,30222,23426,53648,66518
573,3618152,1.078293,30259,23426,53685,66593
